Stock Number,Population Name,Species,Year,Recovery Goal,Goal Type,Goal Type Description,Comments,Last Updated
2500,Strait of Juan de Fuca Summer Chum,Chum,2013,5100,Recovery - Low Productivity Target,"Low productivity target number may represent: 1) one adult fish returning from the sea for each spawner, also called the equilibrium point (1:1; Puget Sound Salmon Recovery Plan; Shared Strategy & NOAA, 2007);  or 2) viability goal to achieve <5% risk of extinction over 100 years when population productivity is low (Sands et al, 2009, Determination of independent populations and viability criteria for the Hood Canal summer chum salmon evolutionarily significant unit,  NOAA Tech. Memo. NMFS-NWFSC-101).","TRT viability escapement goal for natural-origin recruits (NOR) at low productivity. This is estimated escapement needed to achieve <5% risk of extinction over 100 years for an intrinsic productivity of 3 NOR recruits per spawner and with a harvest rate of 0%. (Sands et al 2009, NOAA Tech. Memo. NMFS-NWFSC-101)",
2300,Hood Canal Summer Chum,Chum,2013,18600,Recovery - High Productivity Target,"High productivity target number may represent: 1)  the number of spawners at the point where the population provides the highest sustainable yield for every spawner, and productivity, number of adults returning per spawner, is expected to be greater then 1:1 and may be in the range of 3:1 to 4:1 (Puget Sound Salmon Recovery Plan; Shared Strategy & NOAA, 2007); or 2) viability goal to achieve <5% risk of extinction over 100 years when population productivity is high (Sands et al, 2009, Determination of independent populations and viability criteria for the Hood Canal summer chum salmon evolutionarily significant unit,  NOAA Tech. Memo. NMFS-NWFSC-101).","TRT viability escapement goal for natural-origin recruits (NOR) at high productivity. This is estimated escapement needed to achieve <5% risk of extinction over 100 years for an intrinsic productivity of 9 NOR recruits per spawner and with a harvest rate of 10%. (Sands et al 2009, NOAA Tech. Memo. NMFS-NWFSC-101)",
2300,Hood Canal Summer Chum,Chum,2013,21500,Recovery - Low Productivity Target,"Low productivity target number may represent: 1) one adult fish returning from the sea for each spawner, also called the equilibrium point (1:1; Puget Sound Salmon Recovery Plan; Shared Strategy & NOAA, 2007);  or 2) viability goal to achieve <5% risk of extinction over 100 years when population productivity is low (Sands et al, 2009, Determination of independent populations and viability criteria for the Hood Canal summer chum salmon evolutionarily significant unit,  NOAA Tech. Memo. NMFS-NWFSC-101).","TRT viability escapement goal for natural-origin recruits (NOR) at low productivity. This is estimated escapement needed to achieve <5% risk of extinction over 100 years for an intrinsic productivity of 5 NOR recruits per spawner and with a harvest rate of 10%. (Sands et al 2009, NOAA Tech. Memo. NMFS-NWFSC-101)",
1008,North Fork Nooksack Chinook (including Middle Fork Nooksack River),Chinook,2007,3800,Recovery - High Productivity Target,"High productivity target number may represent: 1)  the number of spawners at the point where the population provides the highest sustainable yield for every spawner, and productivity, number of adults returning per spawner, is expected to be greater then 1:1 and may be in the range of 3:1 to 4:1 (Puget Sound Salmon Recovery Plan; Shared Strategy & NOAA, 2007); or 2) viability goal to achieve <5% risk of extinction over 100 years when population productivity is high (Sands et al, 2009, Determination of independent populations and viability criteria for the Hood Canal summer chum salmon evolutionarily significant unit,  NOAA Tech. Memo. NMFS-NWFSC-101).",,
1008,North Fork Nooksack Chinook (including Middle Fork Nooksack River),Chinook,2007,16000,Recovery - Low Productivity Target,"Low productivity target number may represent: 1) one adult fish returning from the sea for each spawner, also called the equilibrium point (1:1; Puget Sound Salmon Recovery Plan; Shared Strategy & NOAA, 2007);  or 2) viability goal to achieve <5% risk of extinction over 100 years when population productivity is low (Sands et al, 2009, Determination of independent populations and viability criteria for the Hood Canal summer chum salmon evolutionarily significant unit,  NOAA Tech. Memo. NMFS-NWFSC-101).",,
1016,South Fork Nooksack Chinook,Chinook,2007,2000,Recovery - High Productivity Target,"High productivity target number may represent: 1)  the number of spawners at the point where the population provides the highest sustainable yield for every spawner, and productivity, number of adults returning per spawner, is expected to be greater then 1:1 and may be in the range of 3:1 to 4:1 (Puget Sound Salmon Recovery Plan; Shared Strategy & NOAA, 2007); or 2) viability goal to achieve <5% risk of extinction over 100 years when population productivity is high (Sands et al, 2009, Determination of independent populations and viability criteria for the Hood Canal summer chum salmon evolutionarily significant unit,  NOAA Tech. Memo. NMFS-NWFSC-101).",,
1016,South Fork Nooksack Chinook,Chinook,2007,9100,Recovery - Low Productivity Target,"Low productivity target number may represent: 1) one adult fish returning from the sea for each spawner, also called the equilibrium point (1:1; Puget Sound Salmon Recovery Plan; Shared Strategy & NOAA, 2007);  or 2) viability goal to achieve <5% risk of extinction over 100 years when population productivity is low (Sands et al, 2009, Determination of independent populations and viability criteria for the Hood Canal summer chum salmon evolutionarily significant unit,  NOAA Tech. Memo. NMFS-NWFSC-101).",,
1032,Upper Skagit Chinook,Chinook,2007,5380,Recovery - High Productivity Target,"High productivity target number may represent: 1)  the number of spawners at the point where the population provides the highest sustainable yield for every spawner, and productivity, number of adults returning per spawner, is expected to be greater then 1:1 and may be in the range of 3:1 to 4:1 (Puget Sound Salmon Recovery Plan; Shared Strategy & NOAA, 2007); or 2) viability goal to achieve <5% risk of extinction over 100 years when population productivity is high (Sands et al, 2009, Determination of independent populations and viability criteria for the Hood Canal summer chum salmon evolutionarily significant unit,  NOAA Tech. Memo. NMFS-NWFSC-101).",,
1032,Upper Skagit Chinook,Chinook,2007,26000,Recovery - Low Productivity Target,"Low productivity target number may represent: 1) one adult fish returning from the sea for each spawner, also called the equilibrium point (1:1; Puget Sound Salmon Recovery Plan; Shared Strategy & NOAA, 2007);  or 2) viability goal to achieve <5% risk of extinction over 100 years when population productivity is low (Sands et al, 2009, Determination of independent populations and viability criteria for the Hood Canal summer chum salmon evolutionarily significant unit,  NOAA Tech. Memo. NMFS-NWFSC-101).",,
1040,Lower Skagit Chinook,Chinook,2007,3900,Recovery - High Productivity Target,"High productivity target number may represent: 1)  the number of spawners at the point where the population provides the highest sustainable yield for every spawner, and productivity, number of adults returning per spawner, is expected to be greater then 1:1 and may be in the range of 3:1 to 4:1 (Puget Sound Salmon Recovery Plan; Shared Strategy & NOAA, 2007); or 2) viability goal to achieve <5% risk of extinction over 100 years when population productivity is high (Sands et al, 2009, Determination of independent populations and viability criteria for the Hood Canal summer chum salmon evolutionarily significant unit,  NOAA Tech. Memo. NMFS-NWFSC-101).",,
1040,Lower Skagit Chinook,Chinook,2007,16000,Recovery - Low Productivity Target,"Low productivity target number may represent: 1) one adult fish returning from the sea for each spawner, also called the equilibrium point (1:1; Puget Sound Salmon Recovery Plan; Shared Strategy & NOAA, 2007);  or 2) viability goal to achieve <5% risk of extinction over 100 years when population productivity is low (Sands et al, 2009, Determination of independent populations and viability criteria for the Hood Canal summer chum salmon evolutionarily significant unit,  NOAA Tech. Memo. NMFS-NWFSC-101).",,
1048,Lower Sauk Chinook,Chinook,2007,1400,Recovery - High Productivity Target,"High productivity target number may represent: 1)  the number of spawners at the point where the population provides the highest sustainable yield for every spawner, and productivity, number of adults returning per spawner, is expected to be greater then 1:1 and may be in the range of 3:1 to 4:1 (Puget Sound Salmon Recovery Plan; Shared Strategy & NOAA, 2007); or 2) viability goal to achieve <5% risk of extinction over 100 years when population productivity is high (Sands et al, 2009, Determination of independent populations and viability criteria for the Hood Canal summer chum salmon evolutionarily significant unit,  NOAA Tech. Memo. NMFS-NWFSC-101).",,
1048,Lower Sauk Chinook,Chinook,2007,5600,Recovery - Low Productivity Target,"Low productivity target number may represent: 1) one adult fish returning from the sea for each spawner, also called the equilibrium point (1:1; Puget Sound Salmon Recovery Plan; Shared Strategy & NOAA, 2007);  or 2) viability goal to achieve <5% risk of extinction over 100 years when population productivity is low (Sands et al, 2009, Determination of independent populations and viability criteria for the Hood Canal summer chum salmon evolutionarily significant unit,  NOAA Tech. Memo. NMFS-NWFSC-101).",,
1056,Upper Sauk Chinook,Chinook,2007,750,Recovery - High Productivity Target,"High productivity target number may represent: 1)  the number of spawners at the point where the population provides the highest sustainable yield for every spawner, and productivity, number of adults returning per spawner, is expected to be greater then 1:1 and may be in the range of 3:1 to 4:1 (Puget Sound Salmon Recovery Plan; Shared Strategy & NOAA, 2007); or 2) viability goal to achieve <5% risk of extinction over 100 years when population productivity is high (Sands et al, 2009, Determination of independent populations and viability criteria for the Hood Canal summer chum salmon evolutionarily significant unit,  NOAA Tech. Memo. NMFS-NWFSC-101).",,
1056,Upper Sauk Chinook,Chinook,2007,3030,Recovery - Low Productivity Target,"Low productivity target number may represent: 1) one adult fish returning from the sea for each spawner, also called the equilibrium point (1:1; Puget Sound Salmon Recovery Plan; Shared Strategy & NOAA, 2007);  or 2) viability goal to achieve <5% risk of extinction over 100 years when population productivity is low (Sands et al, 2009, Determination of independent populations and viability criteria for the Hood Canal summer chum salmon evolutionarily significant unit,  NOAA Tech. Memo. NMFS-NWFSC-101).",,
1064,Suiattle Chinook,Chinook,2007,160,Recovery - High Productivity Target,"High productivity target number may represent: 1)  the number of spawners at the point where the population provides the highest sustainable yield for every spawner, and productivity, number of adults returning per spawner, is expected to be greater then 1:1 and may be in the range of 3:1 to 4:1 (Puget Sound Salmon Recovery Plan; Shared Strategy & NOAA, 2007); or 2) viability goal to achieve <5% risk of extinction over 100 years when population productivity is high (Sands et al, 2009, Determination of independent populations and viability criteria for the Hood Canal summer chum salmon evolutionarily significant unit,  NOAA Tech. Memo. NMFS-NWFSC-101).",,
1064,Suiattle Chinook,Chinook,2007,610,Recovery - Low Productivity Target,"Low productivity target number may represent: 1) one adult fish returning from the sea for each spawner, also called the equilibrium point (1:1; Puget Sound Salmon Recovery Plan; Shared Strategy & NOAA, 2007);  or 2) viability goal to achieve <5% risk of extinction over 100 years when population productivity is low (Sands et al, 2009, Determination of independent populations and viability criteria for the Hood Canal summer chum salmon evolutionarily significant unit,  NOAA Tech. Memo. NMFS-NWFSC-101).",,
1072,Cascade Chinook,Chinook,2007,290,Recovery - High Productivity Target,"High productivity target number may represent: 1)  the number of spawners at the point where the population provides the highest sustainable yield for every spawner, and productivity, number of adults returning per spawner, is expected to be greater then 1:1 and may be in the range of 3:1 to 4:1 (Puget Sound Salmon Recovery Plan; Shared Strategy & NOAA, 2007); or 2) viability goal to achieve <5% risk of extinction over 100 years when population productivity is high (Sands et al, 2009, Determination of independent populations and viability criteria for the Hood Canal summer chum salmon evolutionarily significant unit,  NOAA Tech. Memo. NMFS-NWFSC-101).",,
1072,Cascade Chinook,Chinook,2007,1200,Recovery - Low Productivity Target,"Low productivity target number may represent: 1) one adult fish returning from the sea for each spawner, also called the equilibrium point (1:1; Puget Sound Salmon Recovery Plan; Shared Strategy & NOAA, 2007);  or 2) viability goal to achieve <5% risk of extinction over 100 years when population productivity is low (Sands et al, 2009, Determination of independent populations and viability criteria for the Hood Canal summer chum salmon evolutionarily significant unit,  NOAA Tech. Memo. NMFS-NWFSC-101).",,
1081,North Fork Stillaguamish Chinook,Chinook,2007,4000,Recovery - High Productivity Target,"High productivity target number may represent: 1)  the number of spawners at the point where the population provides the highest sustainable yield for every spawner, and productivity, number of adults returning per spawner, is expected to be greater then 1:1 and may be in the range of 3:1 to 4:1 (Puget Sound Salmon Recovery Plan; Shared Strategy & NOAA, 2007); or 2) viability goal to achieve <5% risk of extinction over 100 years when population productivity is high (Sands et al, 2009, Determination of independent populations and viability criteria for the Hood Canal summer chum salmon evolutionarily significant unit,  NOAA Tech. Memo. NMFS-NWFSC-101).",,
1081,North Fork Stillaguamish Chinook,Chinook,2007,18000,Recovery - Low Productivity Target,"Low productivity target number may represent: 1) one adult fish returning from the sea for each spawner, also called the equilibrium point (1:1; Puget Sound Salmon Recovery Plan; Shared Strategy & NOAA, 2007);  or 2) viability goal to achieve <5% risk of extinction over 100 years when population productivity is low (Sands et al, 2009, Determination of independent populations and viability criteria for the Hood Canal summer chum salmon evolutionarily significant unit,  NOAA Tech. Memo. NMFS-NWFSC-101).",,
1083,South Fork Stillaguamish Chinook,Chinook,2007,3600,Recovery - High Productivity Target,"High productivity target number may represent: 1)  the number of spawners at the point where the population provides the highest sustainable yield for every spawner, and productivity, number of adults returning per spawner, is expected to be greater then 1:1 and may be in the range of 3:1 to 4:1 (Puget Sound Salmon Recovery Plan; Shared Strategy & NOAA, 2007); or 2) viability goal to achieve <5% risk of extinction over 100 years when population productivity is high (Sands et al, 2009, Determination of independent populations and viability criteria for the Hood Canal summer chum salmon evolutionarily significant unit,  NOAA Tech. Memo. NMFS-NWFSC-101).",,
1083,South Fork Stillaguamish Chinook,Chinook,2007,15000,Recovery - Low Productivity Target,"Low productivity target number may represent: 1) one adult fish returning from the sea for each spawner, also called the equilibrium point (1:1; Puget Sound Salmon Recovery Plan; Shared Strategy & NOAA, 2007);  or 2) viability goal to achieve <5% risk of extinction over 100 years when population productivity is low (Sands et al, 2009, Determination of independent populations and viability criteria for the Hood Canal summer chum salmon evolutionarily significant unit,  NOAA Tech. Memo. NMFS-NWFSC-101).",,
1106,Skykomish Chinook,Chinook,2007,8700,Recovery - High Productivity Target,"High productivity target number may represent: 1)  the number of spawners at the point where the population provides the highest sustainable yield for every spawner, and productivity, number of adults returning per spawner, is expected to be greater then 1:1 and may be in the range of 3:1 to 4:1 (Puget Sound Salmon Recovery Plan; Shared Strategy & NOAA, 2007); or 2) viability goal to achieve <5% risk of extinction over 100 years when population productivity is high (Sands et al, 2009, Determination of independent populations and viability criteria for the Hood Canal summer chum salmon evolutionarily significant unit,  NOAA Tech. Memo. NMFS-NWFSC-101).",,
1106,Skykomish Chinook,Chinook,2007,39000,Recovery - Low Productivity Target,"Low productivity target number may represent: 1) one adult fish returning from the sea for each spawner, also called the equilibrium point (1:1; Puget Sound Salmon Recovery Plan; Shared Strategy & NOAA, 2007);  or 2) viability goal to achieve <5% risk of extinction over 100 years when population productivity is low (Sands et al, 2009, Determination of independent populations and viability criteria for the Hood Canal summer chum salmon evolutionarily significant unit,  NOAA Tech. Memo. NMFS-NWFSC-101).",,
1108,Snoqualmie Chinook,Chinook,2007,5500,Recovery - High Productivity Target,"High productivity target number may represent: 1)  the number of spawners at the point where the population provides the highest sustainable yield for every spawner, and productivity, number of adults returning per spawner, is expected to be greater then 1:1 and may be in the range of 3:1 to 4:1 (Puget Sound Salmon Recovery Plan; Shared Strategy & NOAA, 2007); or 2) viability goal to achieve <5% risk of extinction over 100 years when population productivity is high (Sands et al, 2009, Determination of independent populations and viability criteria for the Hood Canal summer chum salmon evolutionarily significant unit,  NOAA Tech. Memo. NMFS-NWFSC-101).",,
1108,Snoqualmie Chinook,Chinook,2007,25000,Recovery - Low Productivity Target,"Low productivity target number may represent: 1) one adult fish returning from the sea for each spawner, also called the equilibrium point (1:1; Puget Sound Salmon Recovery Plan; Shared Strategy & NOAA, 2007);  or 2) viability goal to achieve <5% risk of extinction over 100 years when population productivity is low (Sands et al, 2009, Determination of independent populations and viability criteria for the Hood Canal summer chum salmon evolutionarily significant unit,  NOAA Tech. Memo. NMFS-NWFSC-101).",,
1128,Sammamish Chinook,Chinook,2007,1000,Recovery - High Productivity Target,"High productivity target number may represent: 1)  the number of spawners at the point where the population provides the highest sustainable yield for every spawner, and productivity, number of adults returning per spawner, is expected to be greater then 1:1 and may be in the range of 3:1 to 4:1 (Puget Sound Salmon Recovery Plan; Shared Strategy & NOAA, 2007); or 2) viability goal to achieve <5% risk of extinction over 100 years when population productivity is high (Sands et al, 2009, Determination of independent populations and viability criteria for the Hood Canal summer chum salmon evolutionarily significant unit,  NOAA Tech. Memo. NMFS-NWFSC-101).",,
1128,Sammamish Chinook,Chinook,2007,4000,Recovery - Low Productivity Target,"Low productivity target number may represent: 1) one adult fish returning from the sea for each spawner, also called the equilibrium point (1:1; Puget Sound Salmon Recovery Plan; Shared Strategy & NOAA, 2007);  or 2) viability goal to achieve <5% risk of extinction over 100 years when population productivity is low (Sands et al, 2009, Determination of independent populations and viability criteria for the Hood Canal summer chum salmon evolutionarily significant unit,  NOAA Tech. Memo. NMFS-NWFSC-101).",,
1144,Cedar Chinook,Chinook,2007,2000,Recovery - High Productivity Target,"High productivity target number may represent: 1)  the number of spawners at the point where the population provides the highest sustainable yield for every spawner, and productivity, number of adults returning per spawner, is expected to be greater then 1:1 and may be in the range of 3:1 to 4:1 (Puget Sound Salmon Recovery Plan; Shared Strategy & NOAA, 2007); or 2) viability goal to achieve <5% risk of extinction over 100 years when population productivity is high (Sands et al, 2009, Determination of independent populations and viability criteria for the Hood Canal summer chum salmon evolutionarily significant unit,  NOAA Tech. Memo. NMFS-NWFSC-101).",,
1144,Cedar Chinook,Chinook,2007,8200,Recovery - Low Productivity Target,"Low productivity target number may represent: 1) one adult fish returning from the sea for each spawner, also called the equilibrium point (1:1; Puget Sound Salmon Recovery Plan; Shared Strategy & NOAA, 2007);  or 2) viability goal to achieve <5% risk of extinction over 100 years when population productivity is low (Sands et al, 2009, Determination of independent populations and viability criteria for the Hood Canal summer chum salmon evolutionarily significant unit,  NOAA Tech. Memo. NMFS-NWFSC-101).",,
1160,Green River (Duwamish) Chinook,Chinook,2007,27000,Recovery - Low Productivity Target,"Low productivity target number may represent: 1) one adult fish returning from the sea for each spawner, also called the equilibrium point (1:1; Puget Sound Salmon Recovery Plan; Shared Strategy & NOAA, 2007);  or 2) viability goal to achieve <5% risk of extinction over 100 years when population productivity is low (Sands et al, 2009, Determination of independent populations and viability criteria for the Hood Canal summer chum salmon evolutionarily significant unit,  NOAA Tech. Memo. NMFS-NWFSC-101).",,
1176,Puyallup Chinook,Chinook,2007,5300,Recovery - High Productivity Target,"High productivity target number may represent: 1)  the number of spawners at the point where the population provides the highest sustainable yield for every spawner, and productivity, number of adults returning per spawner, is expected to be greater then 1:1 and may be in the range of 3:1 to 4:1 (Puget Sound Salmon Recovery Plan; Shared Strategy & NOAA, 2007); or 2) viability goal to achieve <5% risk of extinction over 100 years when population productivity is high (Sands et al, 2009, Determination of independent populations and viability criteria for the Hood Canal summer chum salmon evolutionarily significant unit,  NOAA Tech. Memo. NMFS-NWFSC-101).",,
1176,Puyallup Chinook,Chinook,2007,18000,Recovery - Low Productivity Target,"Low productivity target number may represent: 1) one adult fish returning from the sea for each spawner, also called the equilibrium point (1:1; Puget Sound Salmon Recovery Plan; Shared Strategy & NOAA, 2007);  or 2) viability goal to achieve <5% risk of extinction over 100 years when population productivity is low (Sands et al, 2009, Determination of independent populations and viability criteria for the Hood Canal summer chum salmon evolutionarily significant unit,  NOAA Tech. Memo. NMFS-NWFSC-101).",,
1200,Nisqually Chinook,Chinook,2007,3400,Recovery - High Productivity Target,"High productivity target number may represent: 1)  the number of spawners at the point where the population provides the highest sustainable yield for every spawner, and productivity, number of adults returning per spawner, is expected to be greater then 1:1 and may be in the range of 3:1 to 4:1 (Puget Sound Salmon Recovery Plan; Shared Strategy & NOAA, 2007); or 2) viability goal to achieve <5% risk of extinction over 100 years when population productivity is high (Sands et al, 2009, Determination of independent populations and viability criteria for the Hood Canal summer chum salmon evolutionarily significant unit,  NOAA Tech. Memo. NMFS-NWFSC-101).",,
1200,Nisqually Chinook,Chinook,2007,13000,Recovery - Low Productivity Target,"Low productivity target number may represent: 1) one adult fish returning from the sea for each spawner, also called the equilibrium point (1:1; Puget Sound Salmon Recovery Plan; Shared Strategy & NOAA, 2007);  or 2) viability goal to achieve <5% risk of extinction over 100 years when population productivity is low (Sands et al, 2009, Determination of independent populations and viability criteria for the Hood Canal summer chum salmon evolutionarily significant unit,  NOAA Tech. Memo. NMFS-NWFSC-101).",,
1236,Mid Hood Canal Chinook,Chinook,2007,1300,Recovery - High Productivity Target,"High productivity target number may represent: 1)  the number of spawners at the point where the population provides the highest sustainable yield for every spawner, and productivity, number of adults returning per spawner, is expected to be greater then 1:1 and may be in the range of 3:1 to 4:1 (Puget Sound Salmon Recovery Plan; Shared Strategy & NOAA, 2007); or 2) viability goal to achieve <5% risk of extinction over 100 years when population productivity is high (Sands et al, 2009, Determination of independent populations and viability criteria for the Hood Canal summer chum salmon evolutionarily significant unit,  NOAA Tech. Memo. NMFS-NWFSC-101).",,
1236,Mid Hood Canal Chinook,Chinook,2007,5200,Recovery - Low Productivity Target,"Low productivity target number may represent: 1) one adult fish returning from the sea for each spawner, also called the equilibrium point (1:1; Puget Sound Salmon Recovery Plan; Shared Strategy & NOAA, 2007);  or 2) viability goal to achieve <5% risk of extinction over 100 years when population productivity is low (Sands et al, 2009, Determination of independent populations and viability criteria for the Hood Canal summer chum salmon evolutionarily significant unit,  NOAA Tech. Memo. NMFS-NWFSC-101).",,
1240,Dungeness Chinook,Chinook,2007,1200,Recovery - High Productivity Target,"High productivity target number may represent: 1)  the number of spawners at the point where the population provides the highest sustainable yield for every spawner, and productivity, number of adults returning per spawner, is expected to be greater then 1:1 and may be in the range of 3:1 to 4:1 (Puget Sound Salmon Recovery Plan; Shared Strategy & NOAA, 2007); or 2) viability goal to achieve <5% risk of extinction over 100 years when population productivity is high (Sands et al, 2009, Determination of independent populations and viability criteria for the Hood Canal summer chum salmon evolutionarily significant unit,  NOAA Tech. Memo. NMFS-NWFSC-101).",,
1240,Dungeness Chinook,Chinook,2007,4700,Recovery - Low Productivity Target,"Low productivity target number may represent: 1) one adult fish returning from the sea for each spawner, also called the equilibrium point (1:1; Puget Sound Salmon Recovery Plan; Shared Strategy & NOAA, 2007);  or 2) viability goal to achieve <5% risk of extinction over 100 years when population productivity is low (Sands et al, 2009, Determination of independent populations and viability criteria for the Hood Canal summer chum salmon evolutionarily significant unit,  NOAA Tech. Memo. NMFS-NWFSC-101).",,
1248,Elwha Chinook,Chinook,2007,6900,Recovery - High Productivity Target,"High productivity target number may represent: 1)  the number of spawners at the point where the population provides the highest sustainable yield for every spawner, and productivity, number of adults returning per spawner, is expected to be greater then 1:1 and may be in the range of 3:1 to 4:1 (Puget Sound Salmon Recovery Plan; Shared Strategy & NOAA, 2007); or 2) viability goal to achieve <5% risk of extinction over 100 years when population productivity is high (Sands et al, 2009, Determination of independent populations and viability criteria for the Hood Canal summer chum salmon evolutionarily significant unit,  NOAA Tech. Memo. NMFS-NWFSC-101).",,
1248,Elwha Chinook,Chinook,2007,17000,Recovery - Low Productivity Target,"Low productivity target number may represent: 1) one adult fish returning from the sea for each spawner, also called the equilibrium point (1:1; Puget Sound Salmon Recovery Plan; Shared Strategy & NOAA, 2007);  or 2) viability goal to achieve <5% risk of extinction over 100 years when population productivity is low (Sands et al, 2009, Determination of independent populations and viability criteria for the Hood Canal summer chum salmon evolutionarily significant unit,  NOAA Tech. Memo. NMFS-NWFSC-101).",,
1557,Lower Cowlitz Fall (Tule) Chinook,Chinook,2010,3000,Recovery - Minimum Viable Target,"Viable population size guidelines developed by NOAA Fisheries defined in one of following ways: 1) population abundance large enough to a) survive normal environmental variation, b) allow compensatory processes to provide resilience to perturbation, c) maintain genetic diversity, d) provide important ecological functions, and e) not risk effects of uncertainty in status evaluations; or 2) population abundance based on population viability analysis (PVA) using particular conditions for growth rate and growth rate variance that resulted in an extinction probability equal to or less than 0.05, and represents the low end of recovery goal range (e.g., Rawson et al. 2009. Viability Criteria for the Lake Ozette sockeye salmon ESU. NOAA Tech. Memo. NMFS-NWFSC-99); or 3) population abundance that meets a minimum delisting threshold in the context of entire DPS/ESU viability criteria (e.g., Mid-Columbia steelhead & Yakima steelhead recovery plans)",,
1610,Lewis River Fall (Tule) Chinook,Chinook,2010,1500,Recovery - Minimum Viable Target,"Viable population size guidelines developed by NOAA Fisheries defined in one of following ways: 1) population abundance large enough to a) survive normal environmental variation, b) allow compensatory processes to provide resilience to perturbation, c) maintain genetic diversity, d) provide important ecological functions, and e) not risk effects of uncertainty in status evaluations; or 2) population abundance based on population viability analysis (PVA) using particular conditions for growth rate and growth rate variance that resulted in an extinction probability equal to or less than 0.05, and represents the low end of recovery goal range (e.g., Rawson et al. 2009. Viability Criteria for the Lake Ozette sockeye salmon ESU. NOAA Tech. Memo. NMFS-NWFSC-99); or 3) population abundance that meets a minimum delisting threshold in the context of entire DPS/ESU viability criteria (e.g., Mid-Columbia steelhead & Yakima steelhead recovery plans)",,
1712,Asotin Creek Spring Chinook,Chinook,2011,500,Recovery,"Recovery goals defined and developed in one of the following ways:  1) minimum abundance thresholds based on intrinsic potential of historic habitat, locations and classifications of spawning areas, and abundance and productivity relationships that would result in a low (=5%) extinction risk within 100 years, and are associated with minimum productivity thresholds;  2) abundance goals developed to meet specific viability conditions as described in ESU, DPS, or regional recovery plans.",,
1808,Entiat Spring Chinook,Chinook,2007,500,Recovery,"Recovery goals defined and developed in one of the following ways:  1) minimum abundance thresholds based on intrinsic potential of historic habitat, locations and classifications of spawning areas, and abundance and productivity relationships that would result in a low (=5%) extinction risk within 100 years, and are associated with minimum productivity thresholds;  2) abundance goals developed to meet specific viability conditions as described in ESU, DPS, or regional recovery plans.",,
1824,Methow Spring Chinook,Chinook,2007,2000,Recovery,"Recovery goals defined and developed in one of the following ways:  1) minimum abundance thresholds based on intrinsic potential of historic habitat, locations and classifications of spawning areas, and abundance and productivity relationships that would result in a low (=5%) extinction risk within 100 years, and are associated with minimum productivity thresholds;  2) abundance goals developed to meet specific viability conditions as described in ESU, DPS, or regional recovery plans.",,
2748,Grays/Chinook Fall Chum,Chum,2010,1600,Recovery - Minimum Viable Target,"Viable population size guidelines developed by NOAA Fisheries defined in one of following ways: 1) population abundance large enough to a) survive normal environmental variation, b) allow compensatory processes to provide resilience to perturbation, c) maintain genetic diversity, d) provide important ecological functions, and e) not risk effects of uncertainty in status evaluations; or 2) population abundance based on population viability analysis (PVA) using particular conditions for growth rate and growth rate variance that resulted in an extinction probability equal to or less than 0.05, and represents the low end of recovery goal range (e.g., Rawson et al. 2009. Viability Criteria for the Lake Ozette sockeye salmon ESU. NOAA Tech. Memo. NMFS-NWFSC-99); or 3) population abundance that meets a minimum delisting threshold in the context of entire DPS/ESU viability criteria (e.g., Mid-Columbia steelhead & Yakima steelhead recovery plans)",,
2765,Lower Gorge (Columbia) Fall Chum,Chum,2010,2000,Recovery - Minimum Viable Target,"Viable population size guidelines developed by NOAA Fisheries defined in one of following ways: 1) population abundance large enough to a) survive normal environmental variation, b) allow compensatory processes to provide resilience to perturbation, c) maintain genetic diversity, d) provide important ecological functions, and e) not risk effects of uncertainty in status evaluations; or 2) population abundance based on population viability analysis (PVA) using particular conditions for growth rate and growth rate variance that resulted in an extinction probability equal to or less than 0.05, and represents the low end of recovery goal range (e.g., Rawson et al. 2009. Viability Criteria for the Lake Ozette sockeye salmon ESU. NOAA Tech. Memo. NMFS-NWFSC-99); or 3) population abundance that meets a minimum delisting threshold in the context of entire DPS/ESU viability criteria (e.g., Mid-Columbia steelhead & Yakima steelhead recovery plans)",,
3630,Grays/Chinook Coho,Coho,2010,2400,Recovery - Minimum Viable Target,"Viable population size guidelines developed by NOAA Fisheries defined in one of following ways: 1) population abundance large enough to a) survive normal environmental variation, b) allow compensatory processes to provide resilience to perturbation, c) maintain genetic diversity, d) provide important ecological functions, and e) not risk effects of uncertainty in status evaluations; or 2) population abundance based on population viability analysis (PVA) using particular conditions for growth rate and growth rate variance that resulted in an extinction probability equal to or less than 0.05, and represents the low end of recovery goal range (e.g., Rawson et al. 2009. Viability Criteria for the Lake Ozette sockeye salmon ESU. NOAA Tech. Memo. NMFS-NWFSC-99); or 3) population abundance that meets a minimum delisting threshold in the context of entire DPS/ESU viability criteria (e.g., Mid-Columbia steelhead & Yakima steelhead recovery plans)",,
