Stock Number,Population Name,Species,ESU/DPS Name,Federal Status,Listing Date,Salmon Recovery Region,Recovery Plan,Recovery Plan Year,Hatchery Standards Met,Major Population Grouping,Population Goals,Goal References,Goal Notes,Population History,Stock Definition,Stock Data Description,Stock Spawning Distribution,Stock Genetic Analysis Description,Local Biologist Name,Local Biologist Email,Last Updated
2550,Elwha Fall Chum,Chum,Puget Sound/Strait of Georgia Chum,Not Warranted,3/25/1999,Puget Sound,,,,No MPG Specified ,Included in Misc 4B-6B streams EG of 950,,,"This is a native stock with wild production. The Elwha Tribe`s hatchery had a chum program (circa 1980) that used primarily Hood Canal (Walcott Slough, near the Quilcene River) fish and some native Elwha and Lyre fall chum.",Elwha fall chum were identified as a stock based on their distinct spawning distribution.,,Most spawning takes place in the lower mile of the Elwha River.,Allozyme analysis has shown that Elwha fall chum resemble Quilcene late fall chum.,Randy Cooper,Randy.Cooper@dfw.wa.gov,1/27/2015 0:00
2561,Lyre Fall Chum,Chum,Pacific Coast Chum,Not Warranted,3/10/1998,Puget Sound,,,,No MPG Specified ,Included in Misc 4B-6B streams EG of 950,,,This is a native stock with wild production.,Lyre fall chum were identified as a stock based on their distinct spawning distribution.,This stock is not currently monitored.,Most spawning takes place mainly in the lower 2.5 miles of the Lyre River.,Allozyme analysis has shown that Lyre fall chum are genetically distinct from all other Washington chum stocks examined.,Randy Cooper,Randy.Cooper@dfw.wa.gov,1/27/2015 0:00
2567,Deep Creek/East & West Twin Fall Chum,Chum,Pacific Coast Chum,Not Warranted,3/10/1998,Puget Sound,,,,No MPG Specified ,Included in Misc 4B-6B streams EG of 950,,,This is a native stock with wild production.,Deep Creek/East & West Twin fall chum were identified as a stock based on their distinct spawning distribution.,Data are total escapement estimates based on counts of live plus dead spawners in Deep Creek from RM 0.2 to 2.5. High flows and turbidity make consistent survey effort difficult in November and December.,Most spawning takes place in lower Deep Creek.,Allozyme analysis has shown that Deep Creek/East & West Twin fall chum are genetically distinct from all other Washington chum stocks examined (Phelps et al. 1995).,Randy Cooper,Randy.Cooper@dfw.wa.gov,1/27/2015 0:00
2572,Pysht Fall Chum,Chum,Pacific Coast Chum,Not Warranted,3/10/1998,Puget Sound,,,,No MPG Specified ,Included in Misc 4B-6B streams EG of 950,,,This is a native stock with wild production.,Pysht fall chum were identified as a stock based on their distinct spawning distribution.,Data are total escapement estimates based on live plus dead spawner counts in the mainstem Pysht from RM 8.5 to 11.0. High flows and turbidity make consistent survey difficult in November and December.,Most spawning takes place from RM 6.0 to 12.0 of the mainstem Pysht River.,Allozyme analysis has shown that Pysht fall chum are genetically distinct from all other Washington chum stocks examined.,Randy Cooper,Randy.Cooper@dfw.wa.gov,1/27/2015 0:00
2583,Hoko/Clallam/Sekiu Fall Chum,Chum,Pacific Coast Chum,Not Warranted,3/10/1998,Puget Sound,,,,No MPG Specified ,Included in Misc 4B-6B streams EG of 950,,,This is a native stock with wild production.,Hoko/Clallam/Sekiu fall chum were identified as a stock based on their distinct spawning distribution., Fall chum are not monitored for spawning escapement in the Hoko/Clallam/Sekiu rivers. Fall chum have been observed spawning in some of the WDFW coho index areas but in very low numbers.,Most spawning takes place in the lower eight miles of the Hoko River. Spawning chum have been recorded in the Clallam River and are thought to utilize the Sekiu River as well.,No genetic analysis has been done on Hoko/Clallam/Sekiu fall chum.,Jennifer Whitney,Jennifer.Whitney@dfw.wa.gov,7/14/2020 0:00
2594,Tsoo-Yess Fall Chum,Chum,Pacific Coast Chum,Not Warranted,3/10/1998,Washington Coastal,,,,No MPG Specified ,,,,"Stock origin is likely non-native and production type is currently wild. There was a small native Sooes fall chum stock, numbers declined due to habitat degradation associated with logging and to fishing pressure. Substantial numbers of non-native fish were introduced into the watershed in the 1970s and 1980s (Quinault in 1975 and 1978, Quilcene and Walcott Slough in 1976, 1977, 1980 and 1982-1985) to enhance the chum run. For a time, the Makah National Fish Hatchery spawned all chum returning to the Tsoo-Yess River. Chum are not currently spawned or released from the hatchery. The result at present is the replacement of a historically small native population with a small nonnative population.",Tsoo-Yess fall chum were identified as a stock based on their distinct spawning distribution.,Not currently monitored.,"Specific spawning locations are unknown, however all chum are enumerated and passed above the hatchery. Natural spawning habitat is accessible to chum spawning in the mainstem Tsoo-Yess River up to RM 13.8 and in numerous tributaries.",Genetic analysis has not been done on Tsoo-Yess fall chum.,Randy Cooper,Randy.Cooper@dfw.wa.gov,7/31/2020 0:00
2605,Ozette Fall Chum,Chum,Pacific Coast Chum,Not Warranted,3/10/1998,Washington Coastal,,,,No MPG Specified ,,,,This is a native stock with wild production.,Ozette fall chum were identified as a stock based on their distinct spawning distribution.,Not currently monitored.,"Specific spawning locations have not been determined. Chum have been observed to spawn, and emergent natural-origin chum fry have been trapped from Umbrella Creek. Low numbers of chum fry were also recovered in a smolt trap emigrating from the Ozette River (Makah Fisheries Management, unpublished field notes).",Genetic analysis has not been done on Ozette fall chum.,Randy Cooper,Randy.Cooper@dfw.wa.gov,7/31/2020 0:00
2616,Quillayute Fall Chum,Chum,Pacific Coast Chum,Not Warranted,3/10/1998,Washington Coastal,,,,No MPG Specified ,,,,This is a native stock with wild production. Two releases of fall chum occurred in 1984 and 1985 from the Lonesome Creek Hatchery on the Quileute reservation. These were fertilized eggs received from WDFW. The impact of these releases on the current native population is not known.,Quillayute fall chum were identified as a stock based on their distinct spawning distribution.,,"Spawning takes place throughout the Quillayute drainage. Small numbers of chum have been observed in the mainstem Quillayute, Dickey, Sol Duc and Calawah rivers and accessible tributaries.","Sampling for genetic analysis has been attempted, but spawner densities are so low that analysis is not feasible at this time.",Randy Cooper,Randy.Cooper@dfw.wa.gov,7/31/2020 0:00
2627,Hoh Fall Chum,Chum,Pacific Coast Chum,Not Warranted,3/10/1998,Washington Coastal,,,,No MPG Specified ,,,,This is a stock of unknown origin with wild production. State fisheries managers believe that this is a reproductively isolated native stock. Tribal managers believe that chum spawning in the Hoh may be strays from stocks in other coastal river systems.,Hoh fall chum were identified as a stock based on their distinct spawning distribution.,,Spawning takes place in the mainstem Hoh River and side channels upstream to the vicinity of Willoughby Creek.,Genetic analysis has not been done on Hoh fall chum.,Randy Cooper,Randy.Cooper@dfw.wa.gov,7/31/2020 0:00
2638,Queets Fall Chum,Chum,Pacific Coast Chum,Not Warranted,3/10/1998,Washington Coastal,,,,No MPG Specified ,,,,Stock origin and production type is unresolved between state and tribal biologists. WDFW biologists believe that this is a reproductively isolated native stock. Tribal biologists believe that chum spawning in the Queets system may be strays from the Quinault River and perhaps from the Grays Harbor basin.,Queets fall chum were identified as a stock based on their distinct spawning distribution.,,Spawning distribution is not well characterized. Some spawning is observed in the lower Queets and Clearwater rivers and in the lower portions of Salmon River and Matheny Creek.,Genetic analysis has not been done on Queets fall chum.,Randy Cooper,Randy.Cooper@dfw.wa.gov,7/31/2020 0:00
2649,Quinault Fall Chum,Chum,Pacific Coast Chum,Not Warranted,3/10/1998,Washington Coastal,,,,No MPG Specified ,Maximum harvest rate=50% of runsize,,,This is a mixed stock with composite production. A potential for hybridization between native chum and non-native hatchery chum released from the Quinault National Fish Hatchery exists.,Quinault fall chum were identified as a stock based on their distinct spawning distribution.,Data are results of spawning ground surveys.  Escapement is no longer monitored by WDFW. The Quinault Fisheries collects spawning ground survey data but has not generated escapements based on these counts.,"Spawning takes place primarily in the lower mainstem Quinault River (RM 4.0 to 33.0). Spawning also occurs in the upper mainstem Quinault River as well as Big, Inner, Boulder South and Ten O`clock Creeks.",Genetic analysis has not been conducted on Quinault Fall Chum.,Raymond Scharpf,Mike.Scharpf@dfw.wa.gov,10/6/2016 0:00
2748,Grays/Chinook Fall Chum,Chum,Columbia River Chum,Threatened,3/25/1999,Lower Columbia River,,,,Coastal Chum,"Recovery goal = 6,000 spawners",Ref 1:Table 4.,,This is a native stock with composite production. A hatchery supplementation program designed to increase numbers of naturally spawning Grays River fall chum began at the WDFW Grays River Hatchery in 1998.,Grays/Chinook fall chum were identified as a stock based on their distinct spawning distribution and genetic composition.,"Data are peak live plus dead spawners per stream mile in the lower mainstem Grays (2.4 miles surveyed), the lower West Fork Grays (1.8 miles surveyed) and lower Crazy Johnson Creek (0.2 miles surveyed).","Most spawning takes place in the mainstem Grays River from the Covered Bridge (RM 10.8) to about 0.5 miles above the confluence with the West Fork (RM 12), in the West Fork Grays River from the mouth (RM 0.0) to about one-half mile above the WDFW Grays River Hatchery rack (RM 15), in lower Crazy Johnson Creek and in Gorley Creek. Floodwaters breached the Gorley Creek dike in December 1999 and washed out most of the spawning habitat in the creek.",Allozyme analysis has shown that Grays fall chum are genetically distinct from other Washington chum stocks examined (Phelps et al. 1995).,Alan Garner,alan.garner@dfw.wa.gov,6/10/2019 0:00
2765,Lower Gorge (Columbia) Fall Chum,Chum,Columbia River Chum,Threatened,3/25/1999,Lower Columbia River,,,,Columbia Gorge Chum,"Recovery goal =2,800 spawners",Ref 1:Table 4.,,This is a native stock with composite production. The U.S. Fish and Wildlife Service maintains an artificial spawning channel in Hardy Creek which is intended to provide increased spawning habitat for fall chum.,"This population is considered the healthiest remaining in the Columbia River Basin. The population is shared with Oregon and includes spawners in several tributaries and the mainstem Columbia upstream from the I-205 Bridge. In the 1992 SASSI two components of the Lower Columbia Gorge fall chum stock, Hardy Creek chum and Hamilton Creek chum, were treated as separate stocks. Genetic analysis performed since 1992 has shown that there is no significant difference between the two components or between them and chum spawning in the mainstem Columbia River below Bonneville Dam. Lower Columbia Gorge fall chum were identified as a stock based on their distinct spawning distribution and genetic composition.","Data are peak live plus dead spawner counts, expressed as raw counts and per stream mile, in lower Hardy Creek (0.7 miles surveyed), mainstem Hamilton Creek (0.5 miles surveyed) and Hamilton Creek spring channel (0.2 miles surveyed).  These peak counts are then expanded to total natural escapement estimates.","Spawning takes place in the lower mile of Hardy and Hamilton creeks and in mainstem Columbia River side channels with springs near the I-205 highway bridge, at Ives Island and Pierce Island in the mainstem Columbia River and in Hamilton Slough and Spring Creek.","Allozyme and DNA analyses have shown that Lower Columbia Gorge fall chum are genetically distinct from all other Washington chum stocks examined (LeClair 1997, 1999).",Alan Garner,alan.garner@dfw.wa.gov,6/10/2019 0:00
3020,Nooksack Coho,Coho,Puget Sound/Strait of Georgia Coho,Not Warranted,7/6/2010,Puget Sound,,,,No MPG Specified ,"EG=9,000 adults",Ref 7,"Currently a Secondary Management Unit, so there is no active management to meet a natural escapement goal (Ref 6 -- Chap. 4, p. 3)","This is a mixed stock with composite production. Various non-native hatchery-origin stocks, including Baker (Skagit), Skagit, Skykomish and Dungeness coho, were released into Kendall Creek on the North Fork Nooksack between 1952 and 1992. Non-native hatchery-origin coho from the Kalama, Samish, May Creek, Skagit, Clark Creek, and Skykomish systems were released from the Skookum Creek Hatchery into the South Fork Nooksack between 1974 and 1995. A native component may exist in the upper North Fork Nooksack (Small 2003).",Nooksack coho were identified as a stock based on their distinct spawning distribution.,"Historical annual escapement estimations that have been generated for management purposes used undocumented methodologies, with unknown precision and accuracy. The utility of the estimates as either absolute escapement values or relative indices of escapement is unknown at this time.",Spawning takes place in suitable and accessible habitat throughout the Nooksack River system.,"Microsatellite DNA analysis has been conducted on collections of adult coho spawning naturally in the Nooksack and Samish rivers and of adults returning to hatcheries in the Nooksack system (Small 2003). Comparisons were made among coho spawning just above RM 48 in the North Fork Nooksack, coho spawning above RM 61 in the North Fork Nooksack, coho at the Kendall Creek Hatchery (North Fork Nooksack RM 46), at the Skookum Creek Hatchery (South Fork Nooksack), and coho spawning in the Samish River at RM 10.5. Results of the analysis indicate that a genetically distinct, perhaps native, coho population exists in the upper North Fork Nooksack (>RM 61). Spawners sampled from just above RM 48 in the North Fork Nooksack were more similar to fish from the hatchery collections than they were to fish from the North Fork Nooksack above RM 61. Coho spawning in the Samish River also resembled Nooksack hatchery coho.",Julie Klacan,Julie.Klacan@dfw.wa.gov,9/8/2016 0:00
3030,Samish Coho,Coho,Puget Sound/Strait of Georgia Coho,Not Warranted,7/6/2010,Puget Sound,,,,No MPG Specified ,"EG=4,000 adults",Ref 7,"Currently a Secondary Management Unit, so there is no active management to meet a natural escapement goal (Ref 6 -- Chap. 4, p. 3)","This is a mixed stock with wild production. Non-native coho (Skagit, Skykomish, Green River (Duwamish), Pilchuck, and Big Beef Creek (Hood Canal) coho were released from the Samish Hatchery or into the Samish basin until 1979. The Samish Hatchery coho program was terminated in 1977.",Samish coho were identified as a stock based on their distinct spawning distribution. Stock identification is supported by recent genetic analysis.,Data are total escapement estimates based on live spawner counts in index reaches and/or Samish Hatchery rack passage counts. ,Spawning takes place throughout the Samish River system.,"Microsatellite DNA analysis of coho spawning naturally in the Samish River in 1997 and 1998 indicated that they were similar to hatchery coho from the Kendall Creek and Skookum Creek hatcheries in the Nooksack River system (Small 2003). This result suggests that Samish coho are a mixture of hatchery releases and, presumably, of native fish.",Kurt Perry,Kurt.Perry@dfw.wa.gov,5/7/2015 0:00
3033,North Puget Sound Tribs Coho,Coho,Puget Sound/Strait of Georgia Coho,Not Warranted,7/6/2010,Puget Sound,,,,No MPG Specified ,"EG=1,000 adults",Ref 7,,This is a mixed stock with wild production. Various non-native hatchery-origin coho stocks were released into north Puget Sound tributaries between 1956 and 1979.,North Puget Sound Tribs coho were identified as a stock based on their distinct spawning distribution.,,"Spawning takes place in Dakota, California, Chuckanut, Oyster, and Colony creeks.",No genetic analysis has been done on North Puget Sound Tribs coho.,Julie Klacan,Julie.Klacan@dfw.wa.gov,9/8/2016 0:00
3035,Orcas Island Coho,Coho,Puget Sound/Strait of Georgia Coho,Not Warranted,7/6/2010,Puget Sound,,,,No MPG Specified ,No goal established,,,This is a stock of unknown origin with wild production.,Orcas Island coho were identified as a stock based on their distinct spawning distribution.,,Spawning takes place in Cascade Creek and perhaps in other Orcas Island streams.,No genetic analysis has been done on Orcas Island coho.,Julie Klacan,Julie.Klacan@dfw.wa.gov,9/8/2016 0:00
3037,Whidbey Island Coho,Coho,Puget Sound/Strait of Georgia Coho,Not Warranted,7/6/2010,Puget Sound,,,,No MPG Specified ,No goal established,,,This is a stock of unknown origin with wild production.,Whidbey Island coho were identified as a stock due to their distinct spawning distribution.,,Spawning takes place in Maxwelton Creek and perhaps in other streams on southern Whidbey Island.,No genetic analysis has been done for Whidbey Island coho.,Peter Verhey,Peter.Verhey@dfw.wa.gov,5/7/2015 0:00
3040,Skagit Coho,Coho,Puget Sound/Strait of Georgia Coho,Not Warranted,7/6/2010,Puget Sound,,,,No MPG Specified ,"Critical runsize range - If Ocean Age 3 (OA3) runsize < 22,857, then max total exploit = 20 %.  Low runsize range - If Ocean Age 3 (OA3) runsize < 62,500, then max total exploit = 35 %.  Normal runsize range - If Ocean Age 3 (OA3) runsize = or > 62,",Ref 6:Provides general breakpoint definitions;Ref 21:Provides technical framework for Skagit analysis.  Final objectives determined at Policy Level (Pat Patillo),"Includes Baker coho.  Old basin EG=30,000 (Ref 7)",This is a native stock with composite production. The WDFW Marblemount Hatchery has generally used native Skagit coho for broodstock.,Skagit coho were identified as a stock 1992 due to their distinct spawning distribution.,"Data are the annual sum of season-cumulative fish-days values from 20 survey indices in the basin (Nookachamps Cr, Mundt Cr, Walker Cr, Unnamed stream 03.0241, Wiseman Cr., Anderson Cr, Sorenson Cr, Parker Cr, Jones Cr, Etach Cr., Hilt Cr, Mouse Cr., Unnamed stream 03.0189, Unnamed stream 03.1094, and County Line Ponds). Basin total escapement estimates are derived annually for management purposes, but precision and accuracy concerns with these estimates currently preclude their use for abundance trend analysis.",Spawning takes place throughout the Skagit River basin below the Gorge Dam.,"Allozyme analyses on coho collected in the late 1980s and early 1990s show that significant genetic differences exist within the basin, indicating that multiple coho stocks are present in the Skagit basin (David Teel, NMFS, personal communication).  All Skagit coho collections show similarities to one another and are quite different from South Puget Sound, Strait of Juan de Fuca and Columbia River coho (David Teel, NMFS, personal communication).",Brett Barkdull,Brett.Barkdull@dfw.wa.gov,7/27/2020 0:00
3060,Stillaguamish Coho,Coho,Puget Sound/Strait of Georgia Coho,Not Warranted,7/6/2010,Puget Sound,,,,No MPG Specified ,"Critical runsize range - If Ocean Age 3 (OA3) runsize < 9,385, then max total exploit = 20 %.  Low runsize range - If Ocean Age 3 (OA3) runsize < 20,000, then max total exploit = 35 %.  Normal runsize range - If Ocean Age 3 (OA3) runsize = or > 62,5",Ref 6:Provides general breakpoint definitions;Ref 18:Provides technical framework for Still. R. analysis.  Final objectives determined at Policy Level (Pat Patillo),"Includes Deer Creek coho.  Old basin EG=17,000 (Ref 7)","This is a mixed stock with wild production. Skagit, Skykomish, Samish, Green River (Duwamish), and Issaquah Creek hatchery-origin coho were released into the Stillaguamish drainage from the early 1950s to 1981. Hybridization between the native stock and introduced non-native stocks may have occurred.",Stillaguamish coho were identified as a stock based on their distinct spawning distribution.,"Data are total escapement estimates based on cumulative fish-days counts in index reaches (Unnamed stream 05.0030, Fish Cr, Unnamed streams 05.0064, 05.0150, and 05.0152, Furland Cr, Ashton Cr, Brown`s Cr, Unnamed stream 05.0338C, Naval Base Cr (05.0339), Jordan Cr, Unnamed stream 05.0358A, Tiger Cr, Bensen Cr, Hemple Cr, Schweitzer Cr, and unnamed stream 05.0434B).",Spawning takes place throughout the basin unless access is blocked by natural or man-made barriers. Some important spawning areas are not accessible when flows are below normal during periods of adult migration to the spawning grounds.,"Allozyme analysis of coho sampled from Fortson Creek and McGovern Creek (both North Fork Stillaguamish tributaries) in 1987 and 1989 showed no significant differences between fish from these two tributaries. They differed significantly from all other Washington coho examined but were generally similar to Skagit basin coho (David Teel, NMFS, personal communication).",Peter Verhey,Peter.Verhey@dfw.wa.gov,5/7/2015 0:00
3070,Deer Creek Coho,Coho,Puget Sound/Strait of Georgia Coho,Not Warranted,7/6/2010,Puget Sound,,,,No MPG Specified ,Included in Stillaguamish goals,,,This is a native stock with wild production.,Deer Creek coho were identified as a stock due to their distinct spawning distribution.,,Exact spawning locations within the Deer Creek drainage are unknown. Attempts to conduct spawner surveys have been unsuccessful due to poor visibility and lack of access to the creek.,No genetic analysis has been done on Deer Creek coho.,Peter Verhey,Peter.Verhey@dfw.wa.gov,5/7/2015 0:00
3080,Snohomish Coho,Coho,Puget Sound/Strait of Georgia Coho,Not Warranted,7/6/2010,Puget Sound,,,,No MPG Specified ,"For aggregated Snohomish basin coho stocks: Critical runsize range - If Ocean Age 3 (OA3) runsize < 51,667, then max total exploit = 20 %.  Low runsize range - If Ocean Age 3 (OA3) runsize < 125,000, then max total exploit = 40 %.  Normal runsize ra",Ref 6:Provides general breakpoint definitions;Ref 18:Provides technical framework for Snohomish R. analysis.,"Old basin escapement goal=60,000 (Ref 7)","This is a mixed stock with wild production. Skykomish, Issaquah, Green River (Duwamish), and University of Washington hatchery-origin coho were released into the Pilchuck River system and Worthy Creek between 1952 and 1969.",Snohomish coho were identified as a stock due to their distinct spawning distribution.,"Escapement estimate is for entire Snohomish Watershed. Data is collected as cumulative fish-days counts in index reaches within the sub-basins of the Snohomish, Skykomish, and Snoqualmie rivers, plus cumulative live counts at Sunset Falls trap and haul facility. Index reaches are surveyed to count total live fish every 7 to 10 days during the coho spawning period.  Live counts are plotted against survey date to calculate area-under-the-curve (sum fish-days) for each index reach.  Total Natural Escapement estimate is determined by multiplying current year`s total fish days by the ratio of fish days the (1977 base year) to the mark-recapture estimate from the 1977 base year. Additionally, cumulative live coho passed at Sunset Falls on the South Fork Skykomish are included to make the total basin escapement estimate.","Most spawning takes place in tributaries of the Snohomish, Skykomish, and Snoqualmie rivers","Allozyme analysis of coho sampled from the Pilchuck River in 1987 showed that they were significantly different from all other Washington coho examined (David Teel, NMFS, personal communication).",Peter Verhey,Peter.Verhey@dfw.wa.gov,5/30/2018 0:00
3090,Skykomish Coho,Coho,Puget Sound/Strait of Georgia Coho,Not Warranted,7/6/2010,Puget Sound,,,,No MPG Specified ,"For aggregated Snohomish basin coho stocks: Critical runsize range - If Ocean Age 3 (OA3) runsize < 51,667, then max total exploit = 20 %.  Low runsize range - If Ocean Age 3 (OA3) runsize < 125,000, then max total exploit = 40 %.  Normal runsize ra",Ref 6:Provides general breakpoint definitions;Ref 18:Provides technical framework for Snohomish R. analysis.,,This is a mixed stock with composite production. Various non-native hatchery-origin coho stocks were released into the Skykomish drainage between 1952 and 1990.,Skykomish coho were identified as stock due to their distinct spawning distribution.,"Data are cumulative fish-days counts in index reaches (Foye Cr, unnamed stream 07.0820, unnamed stream 07.0822, Carpenter Cr, unnamed stream 07.0839, unnamed stream 07.0841, Deer Cr, unnamed stream 07.0979A, Lewis Cr, Bridal Veil Cr, unnamed stream 07.1248A, and unnamed stream 07.0961).",Spawning takes place throughout the Skykomish system.,"Allozyme analysis of coho sampled from Lewis Creek in the North Fork Skykomish in 1995 showed they are significantly different from other Snohomish basin coho stocks and from all other Washington coho stocks examined (David Teel, NMFS, personal communication).",Peter Verhey,Peter.Verhey@dfw.wa.gov,5/7/2015 0:00
3100,South Fork Skykomish Coho,Coho,Puget Sound/Strait of Georgia Coho,Not Warranted,7/6/2010,Puget Sound,,,,No MPG Specified ,"For aggregated Snohomish basin coho stocks: Critical runsize range - If Ocean Age 3 (OA3) runsize < 51,667, then max total exploit = 20 %.  Low runsize range - If Ocean Age 3 (OA3) runsize < 125,000, then max total exploit = 40 %.  Normal runsize ra",Ref 6:Provides general breakpoint definitions;Ref 18:Provides technical framework for Snohomish R. analysis.,,"This is a non-native stock with wild production. Skykomish hatchery fry and fingerlings were released into the South Fork Skykomish from 1952 through 1956 and in 1958; Green River hatchery fry were released in 1952, 1957 and 1958 (WDFW and WWTIT 1994). Periodic sampling at the Sunset Falls adult trap has indicated there is very limited straying of hatchery origin coho originating from other locations into this basin (Jeff Haymes, WDFW, personal communication).",South Fork Skykomish coho were identified as a stock based on their distinct spawning distribution.,Data are counts of adult coho at the Sunset Falls adult fish trap (RM 51).,Spawning takes place in accessible waters of the South Fork Skykomish above Sunset Falls. Sunset Falls was an impassable barrier to upstream migration until a trapping and hauling program began in the mid-1950s.,No genetic analysis has been done on South Fork Skykomish coho.,Peter Verhey,Peter.Verhey@dfw.wa.gov,5/7/2015 0:00
3110,Snoqualmie Coho,Coho,Puget Sound/Strait of Georgia Coho,Not Warranted,7/6/2010,Puget Sound,,,,No MPG Specified ,"For aggregated Snohomish basin coho stocks: Critical runsize range - If Ocean Age 3 (OA3) runsize < 51,667, then max total exploit = 20 %.  Low runsize range - If Ocean Age 3 (OA3) runsize < 125,000, then max total exploit = 40 %.  Normal runsize ra",Ref 6:Provides general breakpoint definitions;Ref 18:Provides technical framework for Snohomish R. analysis.,,This is a mixed stock with wild production. Substantial releases of non-native hatchery coho were released into the Snoqualmie drainage between 1952 and 1972.,Snoqualmie coho were identified as a stock based on their distinct spawning distribution. Genetic analysis conducted since 1992 suggests that there are at least two coho stocks in the Snoqualmie drain,"Data are cumulative fish-days counts in index areas (Peoples Cr, Unnamed stream 07.0244, Unnamed North Fork Cherry Cr tributary 07.0247, Harris Cr, Drainage ditch 07.0285B, 07.0285C, 07.0285D, Unnamed stream 07.0286A, Langlois Cr, Unnamed stream 07.0301, Griffin Cr, Unnamed stream 07.0369, East Fork Griffin Cr, Unnamed stream 07.0372, Patterson Cr, Canyon Cr, Unnamed stream 07.0383A, Lake Cr, and Deep Cr).",Spawning takes place throughout the mainstem Snoqualmie River and tributaries downstream from Snoqualmie Falls.,"Allozyme analysis of coho sampled from Harris Creek (1987) and Grizzly Creek (mid-1990s) showed that these two collections are significantly different from one another and from all other Washington coho examined (David Teel, NMFS, personal communication).",Peter Verhey,Peter.Verhey@dfw.wa.gov,5/7/2015 0:00
3120,Lake Washington/Sammamish Tribs Coho,Coho,Puget Sound/Strait of Georgia Coho,Not Warranted,7/6/2010,Puget Sound,,,,No MPG Specified ,"Lake Washington without Cedar EG=13,526.  For all Lake Washington basin coho EG=16,200 adults (includes Cedar coho)",Ref 7,"Lake Washington with Cedar goal per Ref 7, p. 34,  768,740 basin smolts – 92,400 Cedar smolts = 675,340 smolts / 100 S/F = 6763 F * 2 = 13,526 adults.  Currently a Secondary Management Unit, so there is no active management to meet a natural escapement go","This is a mixed stock with composite production. Various non-native hatchery-origin coho stocks were released into Issaquah Creek between the early 1950s and the early 1970s. Some have probably been incorporated into the Issaquah Hatchery broodstock, the hatchery component of the stock.",Lake Washington/Sammamish Tribs coho were identified as stock based on their distinct spawning distribution.,Data are sums of cumulative fish-days for Lake Washington and Sammamish coho survey indices.,"Spawning takes place throughout the east and northwest tributaries of Lake Washington, in Sammamish River tributaries, in Lake Sammamish tributaries and in Issaquah Creek and its tributaries.",No genetic analysis has been done on Lake Washington/Sammamish Tribs coho.,Brian Footen,Brian.Footen@dfw.wa.gov,2/24/2020 0:00
3130,Cedar Coho,Coho,Puget Sound/Strait of Georgia Coho,Not Warranted,7/6/2010,Puget Sound,,,,No MPG Specified ,"Stock EG=1,848.  For all Lake Washington basin coho EG=16,200 adults",Ref 7,"Cedar River goal per Ref 7, p. 34, 92,400 smolts/100 S/F = 924 F * 2 = 1,848 adults.  Currently a Secondary Management Unit, so there is no active management to meet a natural escapement goal (Ref 6 -- Chap. 4, p. 4)",This is a mixed stock with wild production. Various non-native hatchery-origin coho were released into the Cedar drainage between 1952 and 1970.,Cedar coho were identified as stock due to their distinct spawning distribution and prolonged spawning timing within the Lake Washington watershed.,Data are cumulative fish-days for the Rock Creek and Downs Creek index areas.,Spawning takes place in the Cedar mainstem and accessible tributaries up to the Landsburg Dam.,No genetic analysis has been done on Cedar coho.,Brian Footen,Brian.Footen@dfw.wa.gov,2/24/2020 0:00
3140,Green River/Soos Creek Coho,Coho,Puget Sound/Strait of Georgia Coho,Not Warranted,7/6/2010,Puget Sound,,,,No MPG Specified ,"EG=8,000 adults",Ref 7,"Currently a Secondary Management Unit, so there is no active management to meet a natural escapement goal (Ref 6 -- Chap. 4, p. 4)","This is a mixed stock with composite production. Large numbers of hatchery-reared coho have been released into the Green River system since the early 1900s. The original source of hatchery broodstock was adults captured on the Green River and Soos Creek. Although various out-of-basin eggs have occasionally been imported to supplement egg takes at the Soos Creek hatchery, the hatchery stock has remained, to a very large extent, a local Soos Creek broodstock. Soos Creek, Puyallup and Issaquah hatchery-origin coho stocks have been released into Newaukum Creek.",Green River/Soos Creek coho were identified as a stock due to their distinct spawning distribution.,"Data are total escapements based on the sums of cumulative adult fish-days values for Hill, Newaukum, Spring, Cress, and North Fork Newaukum creeks indices.",Spawning takes place throughout the mainstem Green River and its accessible tributaries.,"Allozyme analysis of a large sample of Soos Creek Hatchery coho taken in the mid- 1990s shows that these fish are significantly different from all other Washington coho stocks examined. They most closely resemble the Lewis Creek (Snohomish basin) coho sample and are very dissimilar to Minter Creek Hatchery coho, another South Sound coho hatchery stock (David Teel, NMFS, personal communication).",Nathanael Overman,Nathanael.Overman@dfw.wa.gov,5/7/2015 0:00
3160,Puyallup Coho,Coho,Puget Sound/Strait of Georgia Coho,Not Warranted,7/6/2010,Puget Sound,,,,No MPG Specified ,"Basin EG=11,500 adults (includes White River coho)",Ref 7,"Currently a Secondary Management Unit, so there is no active management to meet a natural escapement goal (Ref 6 -- Chap. 4, p. 4)",This is a mixed stock with composite production. The annual contribution of hatchery-origin fish (judged by the presence of marks or tags) to the natural spawning population ranges from 12 to 25%.,Puyallup coho were identified as a stock based on their distinct spawning distribution.,"Data are cumulative fish-days values for index areas in Fennel Creek (RM 0.0 -1.9), Canyonfalls Creek (RM 0.3 - 0.6), unnamed stream 10.0453 (RM 0.0 -0.2), unnamed stream 10.0420A (RM 0.0 - 0.4) and Fiske Creek (RM 0.3 - 1.1).","Spawning takes place throughout the mainstem Puyallup River, South Prairie Creek and Carbon River and their tributaries.",No genetic analysis has been done on Puyallup coho.,Tara Livingood,tara.livingood@dfw.wa.gov,5/7/2015 0:00
